"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2020-09-26","98.1","-1.07","5.46","Jacob deGrom",607208,594798,"null","ball",,,,,"14","null","R","R","R","WSH","NYM","B","null","null",0,1,2020,"-0.96","1.39","1.43","2.27","null","null","null",1,5,"Bot","null","null",,,"467092",,"null",9.111929859858213,-142.40365638315703,-6.402608201348947,-15.207820488616482,33.69356825077759,-11.979861579399195,"3.33","1.67","null","null","null","99.2","2604","7.1",630895,594798,"467092","624413","429664","641645","642708","642086","607043","643446","53.38","null","null","null","null","null","null","null",41,"2","4-Seam Fastball",3,3,3,3,3,3,3,3,"Standard","Standard"
"FF","2020-09-26","96.2","-1.10","5.41","Jacob deGrom",607208,594798,"null","foul",,,,,"6","null","R","R","R","WSH","NYM","S","null","null",0,0,2020,"-0.66","1.44","0.56","2.77","null","null","null",1,5,"Bot","null","null",,,"467092",,"null",5.989886334460497,-139.98935343440152,-4.7431723581249035,-10.08035630062436,31.531888551335133,-12.323397253857653,"3.34","1.66","247","81.8","47","97.4","2404","6.9",630895,594798,"467092","624413","429664","641645","642708","642086","607043","643446","53.56","null","null","null","null","null","null","null",41,"1","4-Seam Fastball",3,3,3,3,3,3,3,3,"Standard","Standard"
"FF","2020-09-26","99.3","-1.02","5.39","Jacob deGrom",664057,594798,"home_run","hit_into_play_score",,,,,"2","Andrew Stevenson hits an inside-the-park home run (2) on a fly ball to shallow left field.  ","R","L","R","WSH","NYM","X",7,"fly_ball",1,2,2020,"-0.61","1.44","-0.09","2.70","null","null","null",1,5,"Bot","32.78","93.42",,,"467092",,"null",4.012903860994184,-144.5325421885136,-5.3832315696896735,-9.50980512575638,34.47180161354648,-10.966692321646054,"3.03","1.36","332","93.5","36","100.5","2583","7.0",630895,594798,"467092","624413","429664","641645","642708","642086","607043","643446","53.53","0.079","0.132","2.00",1,0,3,3,40,"4","4-Seam Fastball",2,3,2,3,3,2,2,3,"Standard","Standard"
"SL","2020-09-26","93.1","-1.07","5.46","Jacob deGrom",664057,594798,"null","swinging_strike",,,,,"14","null","R","L","R","WSH","NYM","S","null","null",1,1,2020,"0.13","0.57","1.03","1.12","null","null","null",1,5,"Bot","null","null",,,"467092",,"null",5.14700974190404,-135.53415234900956,-6.723573467235105,0.5460791688034002,27.711018635242862,-23.960451914228063,"3.03","1.36","null","null","null","94.3","2616","6.8",630895,594798,"467092","624413","429664","641645","642708","642086","607043","643446","53.65","null","null","null","null","null","null","null",40,"3","Slider",2,3,2,3,3,2,2,3,"Standard","Standard"
"SL","2020-09-26","93.3","-1.02","5.45","Jacob deGrom",664057,594798,"null","ball",,,,,"14","null","R","L","R","WSH","NYM","B","null","null",0,1,2020,"0.08","0.61","1.12","0.98","null","null","null",1,5,"Bot","null","null",,,"467092",,"null",5.399251003009923,-135.6532100161474,-7.146033079369212,-0.15498345254168297,28.377610248167215,-23.34339276943774,"2.97","1.33","null","null","null","94.5","2660","6.9",630895,594798,"467092","624413","429664","641645","642708","642086","607043","643446","53.59","null","null","null","null","null","null","null",40,"2","Slider",2,3,2,3,3,2,2,3,"Standard","Standard"
"SL","2020-09-26","92.0","-1.06","5.46","Jacob deGrom",664057,594798,"null","swinging_strike",,,,,"14","null","R","L","R","WSH","NYM","S","null","null",0,0,2020,"0.15","0.49","1.05","1.62","null","null","null",1,5,"Bot","null","null",,,"467092",,"null",5.068949633288456,-133.85809082185477,-5.0449889409469,0.7709931616988603,28.049888701307538,-25.375220845706252,"3.03","1.36","null","null","null","93.2","2634","6.9",630895,594798,"467092","624413","429664","641645","642708","642086","607043","643446","53.58","null","null","null","null","null","null","null",40,"1","Slider",2,3,2,3,3,2,2,3,"Standard","Standard"
"FF","2020-09-26","97.7","-1.18","5.32","Jacob deGrom",645302,594798,"strikeout","called_strike",,,,,"14","Victor Robles called out on strikes.  ","R","R","R","WSH","NYM","S",2,"null",0,2,2020,"-0.59","1.27","0.90","2.12","null","null","null",0,5,"Bot","null","null",,,"467092",,"null",7.053462297218983,-142.09454325052235,-6.146914193182943,-9.5104446888161,31.254263219438982,-13.737862585274144,"3.31","1.49","null","null","null","99.1","2475","7.0",630895,594798,"467092","624413","429664","641645","642708","642086","607043","643446","53.49","null","null","0.00",1,0,0,"null",39,"3","4-Seam Fastball",2,3,2,3,3,2,2,3,"Standard","Standard"
"FF","2020-09-26","97.1","-1.22","5.37","Jacob deGrom",645302,594798,"null","called_strike",,,,,"9","null","R","R","R","WSH","NYM","S","null","null",0,1,2020,"-0.68","1.38","0.47","1.74","null","null","null",0,5,"Bot","null","null",,,"467092",,"null",6.145139532900623,-141.1007647516649,-7.441727410937992,-10.460687338780662,31.662553884874306,-12.183080381709768,"3.33","1.51","null","null","null","98.4","2561","7.0",630895,594798,"467092","624413","429664","641645","642708","642086","607043","643446","53.46","null","null","null","null","null","null","null",39,"2","4-Seam Fastball",2,3,2,3,3,2,2,3,"Standard","Standard"
"FF","2020-09-26","96.4","-1.06","5.46","Jacob deGrom",645302,594798,"null","called_strike",,,,,"12","null","R","R","R","WSH","NYM","S","null","null",0,0,2020,"-0.43","1.29","1.01","2.64","null","null","null",0,5,"Bot","null","null",,,"467092",,"null",6.555996417783796,-140.18619289427593,-4.916544359874667,-7.1068661436523115,30.549752045335204,-14.184577129553047,"3.38","1.59","null","null","null","97.6","2419","6.9",630895,594798,"467092","624413","429664","641645","642708","642086","607043","643446","53.55","null","null","null","null","null","null","null",39,"1","4-Seam Fastball",2,3,2,3,3,2,2,3,"Standard","Standard"
"FF","2020-09-26","99.2","-0.76","5.41","Jacob deGrom",543281,594798,"strikeout","swinging_strike",,,,,"12","Josh Harrison strikes out swinging.  ","R","R","R","WSH","NYM","S",2,"null",2,2,2020,"-0.69","1.43","0.87","2.71","null",543228,671277,2,4,"Bot","null","null",,,"467092",,"null",6.152330496573104,-144.2512883174272,-5.381758024287189,-11.006873014655417,33.80234143352588,-11.126013145023542,"3.41","1.54","null","null","null","100.5","2490","7.0",630895,594798,"467092","624413","429664","641645","642708","642086","607043","643446","53.45","null","null","0.00",1,0,0,"null",34,"8","4-Seam Fastball",2,3,2,3,3,2,2,3,"Standard","Standard"
